nome,longitude,latitude
AGUIA,-8.4464785432391,41.1293363229325 
RECAR,-8.42215867462191,41.1599363478137
RECAR,-8.42215867462191,41.1599363478137
PARAD,-8.37023578802149,41.1765780321068
PARAD,-8.37023578802149,41.1765780321068 
CETE,-8.35164059584564,41.183243425797
CETE,-8.35164059584564,41.183243425797
PARED,-8.33566951069481,41.2062947118362
PARED,-8.33566951069481,41.2062947118362
CETE,-8.35164059584564,41.183243425797
CETE,-8.35164059584564,41.183243425797
PARAD,-8.37023578802149,41.1765780321068
PARAD,-8.37023578802149,41.1765780321068
RECAR,-8.42215867462191,41.1599363478137
RECAR,-8.42215867462191,41.1599363478137
AGUIA,-8.4464785432391,41.1293363229325
SOBRO,-8.38118071581788,41.2557331783506
ESTLO,-8.4227924957086,41.2521157104055
GAND,-8.43958765792976,41.1956579348384
VANDO,-8.34160692293342,41.2328015719913
VANDO,-8.34160692293342,41.2328015719913
BALTR,-8.38716802227697,41.1937898023744
BALTR,-8.38716802227697,41.1937898023744
MOURZ,-8.36577272258403,41.1983610215263
MOURZ,-8.36577272258403,41.1983610215263
PARED,-8.33566951069481,41.2062947118362
PARED,-8.33566951069481,41.2062947118362
MOURZ,-8.36577272258403,41.1983610215263
MOURZ,-8.36577272258403,41.1983610215263
BALTR,-8.38716802227697,41.1937898023744
BALTR,-8.38716802227697,41.1937898023744
VANDO,-8.34160692293342,41.2328015719913
VANDO,-8.34160692293342,41.2328015719913
GAND,-8.43958765792976,41.1956579348384
LORDL,-8.42293614720057,41.2452627470645
VANDO,-8.34160692293342,41.2328015719913
VANDO,-8.34160692293342,41.2328015719913
BALTR,-8.38716802227697,41.1937898023744
BALTR,-8.38716802227697,41.1937898023744
MOURZ,-8.36577272258403,41.1983610215263
MOURZ,-8.36577272258403,41.1983610215263
PARED,-8.33566951069481,41.2062947118362
PARED,-8.33566951069481,41.2062947118362
MOURZ,-8.36577272258403,41.1983610215263
MOURZ,-8.36577272258403,41.1983610215263
BALTR,-8.38716802227697,41.1937898023744
BALTR,-8.38716802227697,41.1937898023744
VANDO,-8.34160692293342,41.2328015719913
VANDO,-8.34160692293342,41.2328015719913
LORDL,-8.42293614720057,41.2452627470645
BALTR,-8.38716802227697,41.1937898023744
VCCAR,-8.35109395257277,41.2090666564063
VCCAR,-8.35109395257277,41.2090666564063
CRIST,-8.34639896125324,41.2207801252676
CRIST,-8.34639896125324,41.2207801252676
VCCAR,-8.35109395257277,41.2090666564063
VCCAR,-8.35109395257277,41.2090666564063
BALTR,-8.38716802227697,41.1937898023744
CETE,-8.35164059584564,41.183243425797
MOURZ,-8.36577272258403,41.1983610215263
MOURZ,-8.36577272258403,41.1983610215263
VCCAR,-8.35109395257277,41.2090666564063
VCCAR,-8.35109395257277,41.2090666564063
BESTR,-8.34043029659082,41.217018845589
BESTR,-8.34043029659082,41.217018845589
CRIST,-8.34639896125324,41.2207801252676
CRIST,-8.34639896125324,41.2207801252676
SOBRO,-8.38118071581788,41.2557331783506
ESTLO,-8.4227924957086,41.2521157104055
SOBRO,-8.38118071581788,41.2557331783506
SOBRO,-8.38118071581788,41.2557331783506
CRIST,-8.34639896125324,41.2207801252676
CRIST,-8.34639896125324,41.2207801252676
BESTR,-8.34043029659082,41.217018845589
BESTR,-8.34043029659082,41.217018845589
VCCAR,-8.35109395257277,41.2090666564063
VCCAR,-8.35109395257277,41.2090666564063
MOURZ,-8.36577272258403,41.1983610215263
MOURZ,-8.36577272258403,41.1983610215263
CETE,-8.35164059584564,41.183243425797
LORDL,-8.42293614720057,41.2452627470645
DIGRJ,-8.35481024956726,41.2278665802794
DIGRJ,-8.35481024956726,41.2278665802794
CRIST,-8.34639896125324,41.2207801252676
CRIST,-8.34639896125324,41.2207801252676
VCCAR,-8.35109395257277,41.2090666564063
VCCAR,-8.35109395257277,41.2090666564063
BALTR,-8.38716802227697,41.1937898023744
BALTR,-8.38716802227697,41.1937898023744
PARAD,-8.37023578802149,41.1765780321068
PARAD,-8.37023578802149,41.1765780321068
BALTR,-8.38716802227697,41.1937898023744
BALTR,-8.38716802227697,41.1937898023744
VCCAR,-8.35109395257277,41.2090666564063
VCCAR,-8.35109395257277,41.2090666564063
CRIST,-8.34639896125324,41.2207801252676
CRIST,-8.34639896125324,41.2207801252676
DIGRJ,-8.35481024956726,41.2278665802794
DIGRJ,-8.35481024956726,41.2278665802794
LORDL,-8.42293614720057,41.2452627470645
ESTPA,-8.33448520831829,41.2082119860192
PARED,-8.33566951069481,41.2062947118362
PARED,-8.33566951069481,41.2062947118362
ESTPA,-8.33448520831829,41.2082119860192
ESTLO,-8.4227924957086,41.2521157104055
LORDL,-8.42293614720057,41.2452627470645
LORDL,-8.42293614720057,41.2452627470645
ESTLO,-8.4227924957086,41.2521157104055