CódigoFabrico;CódigoComercial;Descrição Breve;Descrição Completa;Unidade;Categoria
4200012;320080000149;Folhas CR > 100 mm;Folhas CR > 100 mm;UN;PA-CR
4300004;320080000157;Folhas DS > 100 mm;Folhas DS > 100 mm;UN;PA-DS
5200005;320080000299;Decor 2,0 mm;Decor 2,0 mm;UN;PA-OU
5200006;320080000300;Decor 3,0 mm;Decor 3,0 mm;UN;PA-OU
5200022;320080000314;Stabyll - Bru,Lix,Par;Stabyll - Bru,Lix,Par;UN;PA-OU
6100002;320090000007;Cilindros 36"x39";Cilindros 36"x39";UN;SA-CI
6100003;320090000008;Cilindros 40"x39";Cilindros 40"x39";UN;SA-CI
6100004;320090000009;Cilindros 42"x39";Cilindros 42"x39";UN;SA-CI
6100005;320090000010;Cilindros 49"x39";Cilindros 49"x39";UN;SA-CI
6100006;320090000011;Cilindros 50"x39";Cilindros 50"x39";UN;SA-CI
6100007;320090000012;Cilindros 54"x39";Cilindros 54"x39";UN;SA-CI
6100008;320090000013;Cilindros 60"x39";Cilindros 60"x39";UN;SA-CI
6100009;320090000014;Cilindros 62"x39";Cilindros 62"x39";UN;SA-CI
6100010;320090000015;Cilindros 64"x39";Cilindros 64"x39";UN;SA-CI
6100011;320090000016;Cilindros 72"x39";Cilindros 72"x39";UN;SA-CI
6100012;320090000017;Cilindros >50"x43";Cilindros >50"x43";UN;SA-CI
6100013;320090000018;Cilindros >54"x43";Cilindros >54"x43";UN;SA-CI
6100014;320090000019;Cilindros >56"x43";Cilindros >56"x43";UN;SA-CI
6100015;320090000020;Cilindros >60"x43";Cilindros >60"x43";UN;SA-CI
6100017;320090000022;CILINDROS 32";CILINDROS 32";UN;SA-CI
6100018;320090000023;Cilindros 36'';Cilindros 36'';UN;SA-CI
6100019;320090000024;Cilindros 42'';Cilindros 42'';UN;SA-CI
6100020;320090000025;Cilindros 43'';Cilindros 43'';UN;SA-CI
6100021;320090000026;Cilindros 48'';Cilindros 48'';UN;SA-CI
6100022;320090000027;Cilindros 50'';Cilindros 50'';UN;SA-CI
7000004;320090000077;Placas Brancos>=100;Placas Brancos>=100;UN;SA-PL
7000006;320090000079;Placas Calçado>=100;Placas Calçado>=100;UN;SA-PL